Name,Price,Discount,Original_price,Description,Product_left
Apple Apple M4 Max - (36 GB/1 TB SSD/macOS Sequoia) MX2G3HN/A,319900,,,"Apple M4 Max Processor; 36 GB Unified Memory RAM; Mac OS Operating System; 1 TB SSD; 35.56 cm (14 Inch) Display; Built-in Apps: App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos, Weather; 1 Year Limited Warranty",Only few left
DELL 18 Intel Core Ultra 9 275HX - (32 GB/1 TB SSD/Windows 11 Home/12 GB Graphics/NVIDIA GeForce RTX 5...,316990,18% off,389358,Intel Core Ultra 9 Processor; 32 GB DDR5 RAM; Windows 11 Operating System; 1 TB SSD; 45.72 cm (18 inch) Display; 1 Year Onsite Warranty,Only 1 left
DELL XPS Intel Core Ultra 7 155H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 40...,315990,18% off,385830,"Intel Core Ultra 7 Processor; 32 GB LPDDR5 RAM; Windows 11 Operating System; 1 TB SSD; 41.4 cm (16.3 Inch) Touchscreen Display; My Dell (Dell Power Manager,Dell Support Assist); 1 Year Onsite Hardware Service",Only 3 left
MSI Stealth GS66 Intel Core i7 12th Gen 12700H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA ...,313990,,,Intel Core i7 Processor (12th Gen); 32 GB DDR5 RAM; 64 bit Windows 11 Operating System; 1 TB SSD; 39.62 cm (15.6 Inch) Display; 2 Year On-Site Warranty,Only 2 left
DELL 16 Intel Core Ultra 9 275HX - (32 GB/1 TB SSD/Windows 11 Home/12 GB Graphics/NVIDIA GeForce RTX 5...,311990,17% off,379772,Intel Core Ultra 9 Processor; 32 GB DDR5 RAM; Windows 11 Operating System; 1 TB SSD; 40.64 cm (16 inch) Display; 1 Year Onsite Warranty,Only 1 left
DELL AMD Ryzen AI 9 12 Core - (32 GB/2 TB SSD/Windows 11 Home/12 GB Graphics/NVIDIA GeForce RTX NVIDIA...,294990,23% off,387761,AMD Ryzen AI 9 12 Core Processor; 32 GB DDR5 RAM; Windows 11 Home Operating System; 2 TB SSD; 40.64 cm (16 inch) Display; 1 YEAR INTERNATIONAL,Only 3 left
MSI Vector 16 HX A Intel Core Ultra 9 275HX - (32 GB/1 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA Ge...,299990,10% off,335990,Intel Core Ultra 9 Processor; 32 GB DDR5 RAM; 64 bit Windows 11 Operating System; 1 TB SSD; 40.64 cm (16 inch) Display; 2 Year On-Site Warranty,Only few left
Apple MacBook Pro Apple M3 Max - (36 GB/1 TB SSD/macOS Sonoma) MRW73HN/A,299990,14% off,349900,"Apple M3 Max Processor; 36 GB Unified Memory RAM; Mac OS Operating System; 1 TB SSD; 40.64 cm (16 Inch) Display; Built-in Apps- App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos; 1 Year Limited Warranty",Only 2 left
ALIENWARE Intel Core i7 10th Gen 10750H - (16 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce...,293080,,,"NVIDIA GeForce RTX 2070; 15.6 inch Full HD LED Backlit Anti-glare IPS Display, 300 Hz, 300 Nits; Alienware Cryo-tech thermal technology to keep the system cool and running at highest performance; Tobii-eye tracking to track head pose, presence, fine gaze and eye position; In-built Alienware Command center software with enhanced control over system settings; Intel Core i7 Processor (10th Gen); 16 GB DDR4 RAM; 64 bit Windows 10 Operating System; 1 TB SSD; 39.62 cm (15.6 inch) Display; Microsoft Office Home and Student 2019; 1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",Only 4 left
DELL Alienware Intel Core Ultra 9 185H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce ...,288490,21% off,368036,Intel Core Ultra 9 Processor; 32 GB LPDDR5X RAM; Windows 11 Home Operating System; 1 TB SSD; 40.64 cm (16 Inch) Display; Alienware Command Center 6.0; 1 Year Onsite Warranty,Only 1 left
Apple 2021 Macbook Pro Apple M1 Max - (32 GB/1 TB SSD/Mac OS Monterey) MK1H3HN/A,285990,13% off,329900,"Apple M1 Max Processor; 32 GB Unified Memory RAM; Mac OS Operating System; 1 TB SSD; 41.15 cm (16.2 inch) Display; iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player; 1 Year Limited Warranty",Only 1 left
ASUS ROG Zephyrus G14 (2025) with Office 2024 + M365 Basic* AMD Ryzen AI 9 12 Core HX 370 - (32 GB/2 T...,279990,6% off,299990,"AMD Ryzen AI 9 12 Core Processor; 32 GB LPDDR5X RAM; Windows 11 Home Operating System; 2 TB SSD; 35.56 cm (14 inch) Display; Microsoft Office Home 2024 (Lifetime Validity) + Microsoft 365 Basic*(1 Year Validity), McAfee 1 Year; 1 Year Onsite Warranty","Upto ₹29,000 Off on Exchange"
MSI Raider GE66 Intel Core i7 12th Gen 12700H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA G...,279990,,,Intel Core i7 Processor (12th Gen); 16 GB DDR5 RAM; 64 bit Windows 11 Operating System; 1 TB SSD; 39.62 cm (15.6 inch) Display; 2 Year On-Site Warranty,Only 4 left
ASUS ROG Strix Scar 16 Intel Core i9 14th Gen 14900HX - (32 GB/2 TB SSD/Windows 11 Home/12 GB Graphics...,277994,20% off,347990,Intel Core i9 Processor (14th Gen); 32 GB DDR5 RAM; Windows 11 Operating System; 2 TB SSD; 40.64 cm (16 inch) Display; 1 Year Onsite warranty,Only 1 left
HP OMEN Intel Core i9 13th Gen 13900HX - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce ...,277278,,,Intel Core i9 Processor (13th Gen); 32 GB DDR5 RAM; Windows 11 Operating System; 1 TB SSD; 40.64 cm (16 Inch) Display; 1 Year Onsite Warranty,Only 2 left
MSI Stealth 18 Studio AI PC Intel Core Ultra 9 1st Gen 185H - (32 GB/2 TB SSD/Windows 11 Home/12 GB Gr...,274990,29% off,389990,Intel Core Ultra 9 Processor (1st Gen); 32 GB DDR5 RAM; Windows 11 Operating System; 2 TB SSD; 45.72 cm (18 Inch) Display; 2 Year Warranty Term,Only few left
MSI Stealth 17 Intel Core i7 13th Gen 13700H - (16 GB/2 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA Ge...,271990,21% off,347990,Intel Core i7 Processor (13th Gen); 16 GB DDR5 RAM; Windows 11 Operating System; 2 TB SSD; 43.94 cm (17.3 Inch) Display; 2 Year Onsite Warranty,Only 5 left
MSI Vector A18 HX AMD Ryzen 9 16 Core 9955HX - (32 GB/2 TB SSD/Windows 11 Home/12 GB Graphics/NVIDIA G...,269990,10% off,299990,AMD Ryzen 9 16 Core Processor; 32 GB DDR5 RAM; 64 bit Windows 11 Operating System; 2 TB SSD; 45.72 cm (18 Inch) Display; 2 Year On-Site Warranty,Only few left
MSI Vector 17 HX AI Intel Core Ultra 9 275HX - (32 GB/2 TB SSD/Windows 11 Home/12 GB Graphics/NVIDIA G...,267990,8% off,291990,Intel Core Ultra 9 Processor; 32 GB DDR5 RAM; 64 bit Windows 11 Operating System; 2 TB SSD; 43.18 cm (17 Inch) Display; 2 Year On-Site Warranty,Only 1 left
ASUS ROG Strix G16 (2025) AI PC with Office 2024 + M365 Basic* Intel Core Ultra 9 275HX - (32 GB/1 TB ...,259990,5% off,275990,"Intel Core Ultra 9 Processor; 32 GB DDR5 RAM; Windows 11 Home Operating System; 1 TB SSD; 40.64 cm (16 inch) Display; Microsoft Office Home 2024 (Lifetime Validity) + Microsoft 365 Basic*(1 Year Validity), McAfee 1 Year; 1 Year Onsite Warranty","Upto ₹29,000 Off on Exchange"
MSI Vector 17 HX AI Intel Core Ultra 9 275HX - (32 GB/2 TB SSD/Windows 11 Home/12 GB Graphics/NVIDIA G...,259990,10% off,291990,Intel Core Ultra 9 Processor; 32 GB DDR5 RAM; 64 bit Windows 11 Operating System; 2 TB SSD; 43.18 cm (17 Inch) Display; 2 Year On-Site Warranty,Only 1 left
MSI Raider A18 HX AMD Ryzen 9 16 Core 7th Gen 7945HX - (32 GB/1 TB SSD/Windows 11 Pro/12 GB Graphics/N...,259990,20% off,324990,AMD Ryzen 9 16 Core Processor (7th Gen); 32 GB DDR5 RAM; Windows 11 Operating System; 1 TB SSD; 45.72 cm (18 Inch) Display; 2 Year Carry-in Warranty,Only 2 left
GIGABYTE AORUS MASTER 16 Intel Core Ultra 9 275HX - (32 GB/1 TB SSD/Windows 11 Pro/12 GB Graphics/NVID...,259499,39% off,429999,Intel Core Ultra 9 Processor; 32 GB DDR5 RAM; Windows 11 Operating System; 1 TB SSD; 40.64 cm (16 Inch) Display; 2 Years,Only 2 left
MSI Raider GE78 HX Intel Core i9 14th Gen 14900HX - (32 GB/2 TB SSD/Windows 11 Home/12 GB Graphics/NVI...,257990,24% off,339990,Intel Core i9 Processor (14th Gen); 32 GB DDR5 RAM; Windows 11 Operating System; 2 TB SSD; 45.72 cm (18 Inch) Display; 2 Year Onsite Warranty,Top Discount of the Sale
MSI Creator Z17 HX Studio Intel Core i7 14th Gen 14700HX - (32 GB/2 TB SSD/Windows 11 Pro/8 GB Graphic...,249990,25% off,334990,Intel Core i7 Processor (14th Gen); 32 GB DDR5 RAM; Windows 11 Operating System; 2 TB SSD; 43.18 cm (17 Inch) Touchscreen Display; 2 Year Onsite Warranty,Only 2 left
DELL XPS Intel Core Ultra 7 155H - (32 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 40...,249990,17% off,304305,"Intel Core Ultra 7 Processor; 32 GB LPDDR5 RAM; Windows 11 Operating System; 1 TB SSD; 36.83 cm (14.5 Inch) Touchscreen Display; My Dell (Dell Power Manager,Dell Support Assist); 1 Year Onsite Hardware Service",Only 3 left
Lenovo Intel Core i7 8th Gen 8665U - (16 GB/512 GB SSD/Windows 10 Pro/2 GB Graphics) Thinkpad P43s Thi...,244801,,,Intel Core i7 Processor (8th Gen); 16 GB DDR4 RAM; 64 bit Windows 10 Operating System; 512 GB SSD; 35.56 cm (14 inch) Display; 3 Year Onsite Warranty,Only 5 left
MSI Creator Z17 HX Studio Intel Core i7 14th Gen 14700HX - (32 GB/2 TB SSD/Windows 11 Pro/8 GB Graphic...,239990,27% off,329990,Intel Core i7 Processor (14th Gen); 32 GB DDR5 RAM; Windows 11 Operating System; 2 TB SSD; 43.18 cm (17 Inch) Touchscreen Display; 2 Year Onsite Warranty,Only 3 left
Apple 2021 Macbook Pro Apple M1 Pro - (16 GB/1 TB SSD/Mac OS Monterey) MKGQ3HN/A,239900,,,"Apple M1 Pro Processor; 16 GB Unified Memory RAM; Mac OS Operating System; 1 TB SSD; 36.07 cm (14.2 inch) Display; iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player; 1 Year Limited Warranty",Only 1 left
Apple Apple M4 Pro - (24 GB/1 TB SSD/macOS Sequoia) MX2J3HN/A,239900,,,"Apple M4 Pro Processor; 24 GB Unified Memory RAM; Mac OS Operating System; 1 TB SSD; 35.56 cm (14 Inch) Display; Built-in Apps: App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos, Weather; 1 Year Limited Warranty","Upto ₹22,000 Off on Exchange"
Apple Apple M4 Pro - (24 GB/1 TB SSD/macOS Sequoia) MX2F3HN/A,239900,,,"Apple M4 Pro Processor; 24 GB Unified Memory RAM; Mac OS Operating System; 1 TB SSD; 35.56 cm (14 Inch) Display; Built-in Apps: App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos, Weather; 1 Year Limited Warranty","Upto ₹22,000 Off on Exchange"
ASUS ROG Strix G16 (2025) with Office 2024 + M365 Basic* Intel Core Ultra 9 275HX - (32 GB/1 TB SSD/Wi...,237990,38% off,383990,"Intel Core Ultra 9 Processor; 32 GB DDR5 RAM; Windows 11 Home Operating System; 1 TB SSD; 40.64 cm (16 inch) Display; Microsoft Office Home 2024 (Lifetime Validity) + Microsoft 365 Basic*(1 Year Validity), McAfee 1 Year; 1 Year Onsite Warranty",Only few left
MSI Vector 16 HX AI A2X Intel Core Ultra 7 14th Gen 255HX - (16 GB/1 TB SSD/Windows 11 Home/12 GB Grap...,230990,6% off,246990,Intel Core Ultra 7 Processor (14th Gen); 16 GB DDR5 RAM; 64 bit Windows 11 Operating System; 1 TB SSD; 40.64 cm (16 Inch) Display; 2 Year On-Site Warranty,Only 1 left
ASUS ROG Strix SCAR 15 (2021) AMD Ryzen 9 Octa Core 5900HX - (32 GB/1 TB SSD/Windows 10 Home/8 GB Grap...,227990,,,AMD Ryzen 9 Octa Core Processor; 32 GB DDR4 RAM; 64 bit Windows 10 Operating System; 1 TB SSD; 39.62 cm (15.6 inch) Display; Microsoft Office Home and Student 2019; 1 Year Onsite Warranty,Only 1 left
MICROSOFT Surface Pro (11th Edition) AI PC Snapdragon X Elite - (32 GB/1 TB SSD/Windows 11 Home) ZID-0...,227990,4% off,237999,Snapdragon X Elite Processor; 32 GB LPDDR5X RAM; Windows 11 Operating System; 1 TB SSD; 33.02 cm (13 Inch) Touchscreen Display; 1 Year Onsite Warranty,Only 3 left
MSI Vector 16 HX A Intel Core Ultra 7 255HX - (32 GB/1 TB SSD/Windows 11 Home/12 GB Graphics/NVIDIA Ge...,226990,10% off,254990,Intel Core Ultra 7 Processor; 32 GB DDR5 RAM; 64 bit Windows 11 Operating System; 1 TB SSD; 40.64 cm (16 inch) Display; 2 Year On-Site Warranty,Only few left
MSI Vector GP68HX Intel Core i9 13th Gen 13980HX - (32 GB/1 TB SSD/Windows 11 Home/12 GB Graphics/NVID...,224990,33% off,335990,Intel Core i9 Processor (13th Gen); 32 GB DDR5 RAM; Windows 11 Operating System; 1 TB SSD; 40.64 cm (16 Inch) Display; 2 Year Onsite Warranty,Top Discount of the Sale
MSI Crosshair A16 HX AMD Ryzen 9 16 Core 8940 - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA G...,223990,,,AMD Ryzen 9 16 Core Processor; 16 GB DDR5 RAM; 64 bit Windows 11 Operating System; 1 TB SSD; 40.64 cm (16 Inch) Display; Microsoft Office Home & Student�2021; 2 Year On-Site Warranty,Only few left
ALIENWARE Intel Core i7 10th Gen 10750H - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeFor...,223322,,,"NVIDIA GeForce GTX 1660 Ti; 15.6 inch Full HD LED Backlit Anti-glare IPS Display, 300 Hz, 300 Nits; Alienware Cryo-tech thermal technology to keep the system cool and running at highest performance; Tobii-eye tracking to track head pose, presence, fine gaze and eye position; In-built Alienware Command center software with enhanced control over system settings; Intel Core i7 Processor (10th Gen); 16 GB DDR4 RAM; 64 bit Windows 10 Operating System; 512 GB SSD; 39.62 cm (15.6 inch) Display; Microsoft Office Home and Student 2019; 1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",Only 1 left
Lenovo Legion 7i Intel Core i7 10th Gen 10875H - (16 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA ...,221825,36% off,349890,Intel Core i7 Processor (10th Gen); 16 GB DDR4 RAM; 64 bit Windows 10 Operating System; 1 TB SSD; 39.62 cm (15.6 inch) Display; Microsoft Office Home and Student 2019; 3 Years Warranty + 1 Year Legion Ultimate Support + 1 Year ADP,Only few left
ASUS Zenbook Duo OLED AI PC Intel Core Ultra 9 185H - (32 GB/2 TB SSD/Windows 11 Home) UX8406MA-QL971W...,219990,24% off,290990,Intel Core Ultra 9 Processor; 32 GB LPDDR5X RAM; Windows 11 Operating System; 2 TB SSD; 35.56 cm (14 Inch) Touchscreen Display; 1 Year Onsite warranty,Only 1 left
MSI Stealth 16 AI Studio Intel Core Ultra 9 185H - (32 GB/2 TB SSD/Windows 11 Home/8 GB Graphics/NVIDI...,219990,21% off,279990,Intel Core Ultra 9 Processor; 32 GB DDR5 RAM; Windows 11 Operating System; 2 TB SSD; 40.64 cm (16 Inch) Display; 2 Year Carry-in Warranty,Only few left
Acer Predator Helios 16 Intel Core i9 14th Gen 14900HX - (32 GB/1 TB SSD/Windows 11 Home/12 GB Graphic...,218000,15% off,256999,Intel Core i9 Processor (14th Gen); 32 GB DDR5 RAM; Windows 11 Operating System; 1 TB SSD; 40.64 cm (16 Inch) Display; 1 Year International Travelers Warranty (ITW),Top Discount of the Sale
DELL Alienware Intel Core Ultra 9 185H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce ...,217990,17% off,262952,Intel Core Ultra 9 Processor; 32 GB DDR5 RAM; Windows 11 Operating System; 1 TB SSD; 40.64 cm (16 Inch) Display; Alienware Command Centre 6.0; 1 Year Onsite Hardware Service,Only 2 left
HP Omen Intel Core i9 12th Gen 12900HX - (32 GB/2 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA GeForce...,216500,38% off,349990,Intel Core i9 Processor (12th Gen); 32 GB DDR5 RAM; 64 bit Windows 11 Operating System; 2 TB SSD; 43.94 cm (17.3 Inch) Display; 1 Year Onsite Warranty,Lowest Price Live
DELL Alienware Intel Core Ultra 9 185H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce ...,214490,10% off,238646,Intel Core Ultra 9 Processor; 32 GB DDR5 RAM; Windows 11 Operating System; 1 TB SSD; 40.64 cm (16 Inch) Display; Alienware Command Centre 6.0; 1 Year Onsite Hardware Service,Only 3 left
Lenovo Yoga AI PC Intel Core Ultra 7 155U - (32 GB/1 TB SSD/Windows 11 Home) 13IMU9 2 in 1 Laptop,212615,32% off,314890,Intel Core Ultra 7 Processor; 32 GB LPDDR5X RAM; Windows 11 Operating System; 1 TB SSD; 33.78 cm (13.3 inch) Touchscreen Display; Office Home & Student 2021; 1 Year Carry-in Warranty,Only 2 left
ASUS ZenBook Pro 15 Intel Core i9 8th Gen 8950HK - (16 GB/1 TB SSD/Windows 10 Home/4 GB Graphics) UX58...,209990,,,First Ever Screenpad; NVIDIA GeForce GTX 1050 Ti; Intel Core i9 Processor (8th Gen); 16 GB DDR4 RAM; 64 bit Windows 10 Operating System; 1 TB SSD; 39.62 cm (15.6 inch) Touchscreen Display; 1 Year Onsite Warranty,Only 4 left
